,城市ID,行政归属,城市简称,拼音,lat,lon
648,YB1F47R7MKFZ,黑龙江省/哈尔滨市/双城区,黑龙江/哈尔滨/双城,Shuangcheng,45.37,126.32
649,YBHPEBR3TCC6,黑龙江省/哈尔滨市/依兰县,黑龙江/哈尔滨/依兰,Yilan,46.32,129.55
650,YB5SEX55HE4W,黑龙江省/哈尔滨市/方正县,黑龙江/哈尔滨/方正,Fangzheng,45.83,128.83
651,YB4SKBS1561S,黑龙江省/哈尔滨市/宾县,黑龙江/哈尔滨/宾县,Binxian,45.75,127.48
652,YB4W5H9G7NT6,黑龙江省/哈尔滨市/巴彦县,黑龙江/哈尔滨/巴彦,Bayan,46.08,127.4
653,YB5J3KUW5HZ6,黑龙江省/哈尔滨市/木兰县,黑龙江/哈尔滨/木兰,Mulan,45.95,128.03
654,YB5T9B8FSMN5,黑龙江省/哈尔滨市/通河县,黑龙江/哈尔滨/通河,Tonghe,45.97,128.75
655,YB5681ZJ3WPD,黑龙江省/哈尔滨市/延寿县,黑龙江/哈尔滨/延寿,Yanshou,45.45,128.33
656,YB4CR843E4FZ,黑龙江省/哈尔滨市/尚志市,黑龙江/哈尔滨/尚志,Shangzhi,45.22,127.95
657,WZFRT37VCWZV,黑龙江省/哈尔滨市/五常市,黑龙江/哈尔滨/五常,Wuchang,44.92,127.15
658,YB2JK81THR6Z,黑龙江省/齐齐哈尔市,黑龙江/齐齐哈尔/齐齐哈尔,Qiqihaer,47.33,123.95
659,YB2JHT6R1S07,黑龙江省/齐齐哈尔市/龙沙区,黑龙江/齐齐哈尔/龙沙,Longsha,47.31521902,123.9509088
660,YB2JKS0YCQ6G,黑龙江省/齐齐哈尔市/建华区,黑龙江/齐齐哈尔/建华,Jianhua,47.35226711,123.9488415
661,YB2JM19MGX06,黑龙江省/齐齐哈尔市/铁锋区,黑龙江/齐齐哈尔/铁锋,Tiefeng,47.33836625,123.971594
662,YB2H1RZYG2NG,黑龙江省/齐齐哈尔市/昂昂溪区,黑龙江/齐齐哈尔/昂昂溪,Angangxi,47.15310631,123.8157233
663,Y8RUT1EPZEJ9,黑龙江省/齐齐哈尔市/富拉尔基区,黑龙江/齐齐哈尔/富拉尔基,Fulaerji,47.20685202,123.6226132
664,Y8RQK1Z9YNGK,黑龙江省/齐齐哈尔市/碾子山区,黑龙江/齐齐哈尔/碾子山,Nianzishan,47.51483324,122.8816555
665,Y8RVPUJ1HQZZ,黑龙江省/齐齐哈尔市/梅里斯达斡尔族区,黑龙江/齐齐哈尔/梅里斯,Meilisi,47.30733812,123.7460731
666,Y8RT700VNP3P,黑龙江省/齐齐哈尔市/龙江县,黑龙江/齐齐哈尔/龙江,Longjiang,47.33,123.18
667,YB907K29JWGV,黑龙江省/齐齐哈尔市/依安县,黑龙江/齐齐哈尔/依安,Yian,47.88,125.3
668,Y8PZBQZEW6YJ,黑龙江省/齐齐哈尔市/泰来县,黑龙江/齐齐哈尔/泰来,Tailai,46.4,123.42
669,WQ1PJ9PBXYZY,黑龙江省/齐齐哈尔市/甘南县,黑龙江/齐齐哈尔/甘南,Gannan,47.922406,123.507429
670,YB8803K79NNG,黑龙江省/齐齐哈尔市/富裕县,黑龙江/齐齐哈尔/富裕,Fuyu,47.82,124.47
671,YB990PXEP8FW,黑龙江省/齐齐哈尔市/克山县,黑龙江/齐齐哈尔/克山,Keshan,48.03,125.87
672,YB9C0ZS7N0ZN,黑龙江省/齐齐哈尔市/克东县,黑龙江/齐齐哈尔/克东,Kedong,48.03,126.25
673,YB3WV12DHGJU,黑龙江省/齐齐哈尔市/拜泉县,黑龙江/齐齐哈尔/拜泉,Baiquan,47.6,126.08
674,YB8GC3X83ZH8,黑龙江省/齐齐哈尔市/讷河市,黑龙江/齐齐哈尔/讷河,Nehe,48.48,124.87
675,YBJ1SQ97WHN1,黑龙江省/鸡西市,黑龙江/鸡西/鸡西,Jixi,45.3,130.97
676,YBJ1SQGYT1DK,黑龙江省/鸡西市/鸡冠区,黑龙江/鸡西/鸡冠,Jiguan,45.30187527,130.9733853
677,YBJ14TUZ328F,黑龙江省/鸡西市/恒山区,黑龙江/鸡西/恒山,Hengshan,45.20861454,130.8976912
678,YBJ1CR053BCD,黑龙江省/鸡西市/滴道区,黑龙江/鸡西/滴道,Didao,45.34663165,130.8362588
679,YBHBTBM79KJ9,黑龙江省/鸡西市/梨树区,黑龙江/鸡西/梨树,Lishu,45.08988652,130.689644
680,YBJ1VHCVWHQH,黑龙江省/鸡西市/城子河区,黑龙江/鸡西/城子河,Chengzihe,45.33467732,131.0036456
681,YBHC0YJYHJ40,黑龙江省/鸡西市/麻山区,黑龙江/鸡西/麻山,Mashan,45.2097971,130.4707173
682,YBJ1RVTBQ7QU,黑龙江省/鸡西市/鸡东县,黑龙江/鸡西/鸡东,Jidong,45.25,131.13
683,YBNS6H1JDD6U,黑龙江省/鸡西市/虎林市,黑龙江/鸡西/虎林,Hulin,45.77,132.98
684,YBJG0U0GCXQV,黑龙江省/鸡西市/密山市,黑龙江/鸡西/密山,Mishan,45.55,131.87
685,YBKTK25TPP2R,黑龙江省/鹤岗市,黑龙江/鹤岗/鹤岗,Hegang,47.33,130.27
686,YBKTK9ZXWXMJ,黑龙江省/鹤岗市/向阳区,黑龙江/鹤岗/向阳,Xiangyang,47.34004185,130.2864644
687,YBKTHM9MY5ZV,黑龙江省/鹤岗市/工农区,黑龙江/鹤岗/工农,Gongnong,47.31637668,130.2668773
688,YBKTHT42W0KK,黑龙江省/鹤岗市/南山区,黑龙江/鹤岗/南山,Nanshan,47.31271002,130.2792322
689,YBKSG3XTUZZY,黑龙江省/鹤岗市/兴安区,黑龙江/鹤岗/兴安,Xingan,47.25048048,130.2314614
690,YBKTM320X96D,黑龙江省/鹤岗市/东山区,黑龙江/鹤岗/东山,Dongshan,47.33606103,130.3091632
691,YBKTKUY2JGPC,黑龙江省/鹤岗市/兴山区,黑龙江/鹤岗/兴山,Xingshan,47.3552104,130.2957055
692,YBMN9JEMXFYE,黑龙江省/鹤岗市/萝北县,黑龙江/鹤岗/萝北,Luobei,47.58,130.83
693,YBMUBR41ZWVC,黑龙江省/鹤岗市/绥滨县,黑龙江/鹤岗/绥滨,Suibin,47.28,131.85
694,YBM322SX2QPB,黑龙江省/双鸭山市,黑龙江/双鸭山/双鸭山,Shuangyashan,46.63,131.15
695,YBM327K9XWEB,黑龙江省/双鸭山市/尖山区,黑龙江/双鸭山/尖山,Jianshan,46.64412183,131.1503058
696,YBM309937NQC,黑龙江省/双鸭山市/岭东区,黑龙江/双鸭山/岭东,Lingdong,46.59051941,131.1566396
697,YBM3H3UFWQUM,黑龙江省/双鸭山市/四方台区,黑龙江/双鸭山/四方台,Sifangtai,46.59211061,131.3263773
698,YBM2VYTWQGYK,黑龙江省/双鸭山市/宝山区,黑龙江/双鸭山/宝山,Baoshan,46.57488524,131.3933493
699,YBM1ZCJGWRNZ,黑龙江省/双鸭山市/集贤县,黑龙江/双鸭山/集贤,Jixian,46.72,131.13
700,YBMDPHJC6851,黑龙江省/双鸭山市/友谊县,黑龙江/双鸭山/友谊,Youyi,46.78,131.8
701,YBNP8231E3BD,黑龙江省/双鸭山市/宝清县,黑龙江/双鸭山/宝清,Baoqing,46.32,132.2
702,YBR61XWMU274,黑龙江省/双鸭山市/饶河县,黑龙江/双鸭山/饶河,Raohe,46.8,134.02
703,YB2BVPSH4JM5,黑龙江省/大庆市,黑龙江/大庆/大庆,Daqing,46.58,125.03
704,YB2CNFHX4NTR,黑龙江省/大庆市/萨尔图区,黑龙江/大庆/萨尔图,Saertu,46.59425535,125.1075911
705,YB2BZK58SVC8,黑龙江省/大庆市/龙凤区,黑龙江/大庆/龙凤,Longfeng,46.56017534,125.1283036
706,YB2C3K7R3S8U,黑龙江省/大庆市/让胡路区,黑龙江/大庆/让胡路,Ranghulu,46.65059197,124.864148
707,YB0ZCY60RJRM,黑龙江省/大庆市/红岗区,黑龙江/大庆/红岗,Honggang,46.39670889,124.8846487
708,YB0VBHBYKM2C,黑龙江省/大庆市/大同区,黑龙江/大庆/大同,Datong,46.03793609,124.805901
709,YB15FX6VF96N,黑龙江省/大庆市/肇州县,黑龙江/大庆/肇州,Zhaozhou,45.7,125.27
710,YB0FYQ8MPPPB,黑龙江省/大庆市/肇源县,黑龙江/大庆/肇源,Zhaoyuan,45.52,125.08
711,YB2U3KZE3VKW,黑龙江省/大庆市/林甸县,黑龙江/大庆/林甸,Lindian,47.18,124.87
712,YB26XUMTX1MB,黑龙江省/大庆市/杜尔伯特蒙古族自治县,黑龙江/大庆/杜尔伯特,Duerbote,46.87,124.45
713,YB7XT0YP7SYK,黑龙江省/伊春市,黑龙江/伊春,Yichun,47.73,128.9
714,YB7XT0YP7SYK,黑龙江省/伊春市/伊春区,黑龙江/伊春/伊春,Yichun,47.73,128.9
715,YB7UJSZC9867,黑龙江省/伊春市/南岔区,黑龙江/伊春/南岔,Nancha,47.13572699,129.2758471
716,YBE85XJG6JSD,黑龙江省/伊春市/友好区,黑龙江/伊春/友好,Youhao,47.85153991,128.8336722
717,YB7YN7JHFQPS,黑龙江省/伊春市/西林区,黑龙江/伊春/西林,Xilin,47.4782654,129.3050688
718,YB7RRZCRPCKP,黑龙江省/伊春市/翠峦区,黑龙江/伊春/翠峦,Cuiluan,47.7244457,128.6629433
719,YBS4EQTGB7WF,黑龙江省/伊春市/新青区,黑龙江/伊春/新青,Xinqing,48.28832163,129.5257385
720,YB7YFPPRTC7W,黑龙江省/伊春市/美溪区,黑龙江/伊春/美溪,Meixi,47.63252084,129.1215361
721,YBKJ9NCD4RU8,黑龙江省/伊春市/金山屯区,黑龙江/伊春/金山屯,Jinshantun,47.41051063,129.421108
722,YBECTPUZR61H,黑龙江省/伊春市/五营区,黑龙江/伊春/五营,Wuying,48.12,129.25
723,YB7XD8PSR3Q1,黑龙江省/伊春市/乌马河区,黑龙江/伊春/乌马河,Wumahe,47.72534593,128.7923572
724,YBS5SK90GZCD,黑龙江省/伊春市/汤旺河区,黑龙江/伊春/汤旺河,Tangwanghe,48.45262441,129.5633039
725,YB7EXBBDYQEK,黑龙江省/伊春市/带岭区,黑龙江/伊春/带岭,Dailing,47.0261119,129.0134106
726,YBSH3P2G88DK,黑龙江省/伊春市/乌伊岭区,黑龙江/伊春/乌伊岭,Wuyiling,48.6,129.42
727,YBS42JM8VY66,黑龙江省/伊春市/红星区,黑龙江/伊春/红星,Hongxing,48.23700968,129.382803
728,YBE8ZV54FR97,黑龙江省/伊春市/上甘岭区,黑龙江/伊春/上甘岭,Shangganling,47.97231462,129.0166694
729,YBSWNF7FDHQM,黑龙江省/伊春市/嘉荫县,黑龙江/伊春/嘉荫,Jiayin,48.88,130.38
730,YB7530MQ64YB,黑龙江省/伊春市/铁力市,黑龙江/伊春/铁力,Tieli,46.98,128.02
731,YBKDQEKD30TF,黑龙江省/佳木斯市,黑龙江/佳木斯/佳木斯,Jiamusi,46.82,130.37
732,YBKDQ2EMSQK6,黑龙江省/佳木斯市/向阳区,黑龙江/佳木斯/向阳,Xiangyang,46.80548241,130.3574348
733,YBKDQ9F6QKK4,黑龙江省/佳木斯市/前进区,黑龙江/佳木斯/前进,Qianjin,46.81178036,130.3671332
734,YBKDR5R7872K,黑龙江省/佳木斯市/东风区,黑龙江/佳木斯/东风,Dongfeng,46.82022964,130.3957099
735,YBKDM3PEMWE3,黑龙江省/佳木斯市/郊区,黑龙江/佳木斯/郊区,Jiaoqu,46.80784404,130.3193781
736,YBHYGPYJM88E,黑龙江省/佳木斯市/桦南县,黑龙江/佳木斯/桦南,Huanan,46.23,130.57
737,YBKGQXERKG29,黑龙江省/佳木斯市/桦川县,黑龙江/佳木斯/桦川,Huachuan,47.02,130.72
738,YBK3GFYMCRK7,黑龙江省/佳木斯市/汤原县,黑龙江/佳木斯/汤原,Tangyuan,46.73,129.9
739,YBQPPD6J7GCC,黑龙江省/佳木斯市/同江市,黑龙江/佳木斯/同江,Tongjiang,47.65,132.52
740,YBMUU3T71YRK,黑龙江省/佳木斯市/富锦市,黑龙江/佳木斯/富锦,Fujin,47.25,132.03
741,YBX7PT7XWV91,黑龙江省/佳木斯市/抚远市,黑龙江/佳木斯/抚远,Fuyuan,48.37,134.28
742,YBJH7VFZU4T1,黑龙江省/七台河市,黑龙江/七台河/七台河,Qitaihe,45.78,130.95
743,YBJHEK0MQBYU,黑龙江省/七台河市/新兴区,黑龙江/七台河/新兴,Xinxing,45.8138942,130.9247146
744,YBJHM6BQSK9F,黑龙江省/七台河市/桃山区,黑龙江/七台河/桃山,Taoshan,45.76331683,131.0124911
745,YBJHQQE0652T,黑龙江省/七台河市/茄子河区,黑龙江/七台河/茄子河,Qiezihe,45.78283716,131.0601146
746,YBHU70W1JD0S,黑龙江省/七台河市/勃利县,黑龙江/七台河/勃利,Boli,45.75,130.57
747,WZUJT5EC6FK4,黑龙江省/牡丹江市,黑龙江/牡丹江/牡丹江,Mudanjiang,44.58,129.6
748,WZUJTE6JFGW6,黑龙江省/牡丹江市/东安区,黑龙江/牡丹江/东安,Dongan,44.57940585,129.6195725
749,WZUJTY0EEW1Y,黑龙江省/牡丹江市/阳明区,黑龙江/牡丹江/阳明,Yangming,44.59413998,129.6285248
750,WZUJSY0ES6N0,黑龙江省/牡丹江市/爱民区,黑龙江/牡丹江/爱民,Aimin,44.59411741,129.5846176
751,WZUJT6F2NJN7,黑龙江省/牡丹江市/西安区,黑龙江/牡丹江/西安,Xian,44.57568054,129.6090689
752,YBH9SQEEXH03,黑龙江省/牡丹江市/林口县,黑龙江/牡丹江/林口,Linkou,45.3,130.27
753,WZVK8QKT22PV,黑龙江省/牡丹江市/绥芬河市,黑龙江/牡丹江/绥芬河,Suifenhe,44.42,131.15
754,WZUJ81EXHD0Q,黑龙江省/牡丹江市/海林市,黑龙江/牡丹江/海林,Hailin,44.57,129.38
755,WZUH61TJMXJN,黑龙江省/牡丹江市/宁安市,黑龙江/牡丹江/宁安,Ningan,44.35,129.47
756,WZUZD13VBQVV,黑龙江省/牡丹江市/穆棱市,黑龙江/牡丹江/穆棱,Muling,44.92,130.52
757,WZV4XWWWM7QM,黑龙江省/牡丹江市/东宁市,黑龙江/牡丹江/东宁,Dongning,44.07,131.12
758,YBFTUGSP7QCT,黑龙江省/黑河市,黑龙江/黑河/黑河,Heihe,50.25,127.48
759,YBFTV5V9G6CF,黑龙江省/黑河市/爱辉区,黑龙江/黑河/爱辉,Aihui,50.25040715,127.4930465
760,YB9P8ZPU52Q6,黑龙江省/黑河市/嫩江县,黑龙江/黑河/嫩江,Nenjiang,49.17,125.2
761,YBG653UBRVZH,黑龙江省/黑河市/逊克县,黑龙江/黑河/逊克,Xunke,49.58,128.47
762,YBF91HXS758Z,黑龙江省/黑河市/孙吴县,黑龙江/黑河/孙吴,Sunwu,49.42,127.32
763,YB9FRH101ETS,黑龙江省/黑河市/北安市,黑龙江/黑河/北安,Beian,48.23,126.52
764,YB9SPBB13PS3,黑龙江省/黑河市/五大连池市,黑龙江/黑河/五大连池,Wudalianchi,48.52,126.2
765,YB63388P2QN8,黑龙江省/绥化市,黑龙江/绥化/绥化,Suihua,46.63,126.98
766,YB6333XQVSWR,黑龙江省/绥化市/北林区,黑龙江/绥化/北林,Beilin,46.63540034,126.9791952
767,YB3FQJ5UT8EX,黑龙江省/绥化市/望奎县,黑龙江/绥化/望奎,Wangkui,46.83,126.48
768,YB1Z1X4Q330T,黑龙江省/绥化市/兰西县,黑龙江/绥化/兰西,Lanxi,46.27,126.28
769,YB39T3Z4WYXN,黑龙江省/绥化市/青冈县,黑龙江/绥化/青冈,Qinggang,46.68,126.1
770,YB6DTY1PZ37S,黑龙江省/绥化市/庆安县,黑龙江/绥化/庆安,Qingan,46.88,127.52
771,YB3S2UVE6TKN,黑龙江省/绥化市/明水县,黑龙江/绥化/明水,Mingshui,47.18,125.9
772,YB6KU1X7HWMH,黑龙江省/绥化市/绥棱县,黑龙江/绥化/绥棱,Suiling,47.25,127.1
773,YB1PGYYE8DVM,黑龙江省/绥化市/安达市,黑龙江/绥化/安达,Anda,46.4,125.33
774,YB1W4DZC4Y2W,黑龙江省/绥化市/肇东市,黑龙江/绥化/肇东,Zhaodong,46.07,125.98
775,YB6Q138SZ3Q5,黑龙江省/绥化市/海伦市,黑龙江/绥化/海伦,Hailun,47.47,126.97
776,YBBQB6TMV95Z,黑龙江省/大兴安岭地区,黑龙江/大兴安岭/大兴安岭,Daxinganling,50.42,124.12
777,Y9RJK4ZSEGWJ,黑龙江省/大兴安岭地区/漠河市,黑龙江/大兴安岭/漠河,Mohe,52.97,122.53
778,YBBNZ69JB91R,黑龙江省/大兴安岭地区/加格达奇区,黑龙江/大兴安岭/加格达奇,Jiagedaqi,50.42,124.07
779,YC4N3CPTNFUT,黑龙江省/大兴安岭地区/呼玛县,黑龙江/大兴安岭/呼玛,Huma,51.73,126.65
780,YC29TSEF0DGK,黑龙江省/大兴安岭地区/塔河县,黑龙江/大兴安岭/塔河,Tahe,52.32,124.7
781,WTW3SJ5ZBJUY,上海市,上海/上海,Shanghai,31.23,121.47
782,WTW3SMGJ8NHW,上海市/黄浦区,上海/黄浦,Huangpu,31.23373496,121.4799561
783,WTW37HNSSJ68,上海市/徐汇区,上海/徐汇区,Xujiahui,31.18,121.43
784,WTW3DGZ6DG22,上海市/长宁区,上海/长宁,Changning,31.22221791,121.4199869
785,WTW3GB8WWK6S,上海市/静安区,上海/静安,Jingan,31.24900318,121.4548159
786,WTW3F34NJJ19,上海市/普陀区,上海/普陀,Putuo,31.25166737,121.390903
787,WTW3UGFJ7BJR,上海市/虹口区,上海/虹口,Hongkou,31.26661902,121.5007174
788,WTW3V712JSV7,上海市/杨浦区,上海/杨浦,Yangpu,31.26162277,121.5217351
789,WTW3414PNURY,上海市/闵行区,上海/闵行,Minhang,31.12,121.38
790,WTW6SK5N30JR,上海市/宝山区,上海/宝山,Baoshan,31.4,121.48
791,WTW4X8D1EZCZ,上海市/嘉定区,上海/嘉定,Jiading,31.38,121.27
792,WTW3T7RMWMB4,上海市/浦东新区,上海/浦东新区,Pudong,31.22,121.53
793,WTQQBVVG9ZMN,上海市/金山区,上海/金山,Jinshan,30.75,121.33
794,WTW0W2VDYEPR,上海市/松江区,上海/松江,Songjiang,31.03,121.22
795,WTW1HNSVUSCG,上海市/青浦区,上海/青浦,Qingpu,31.15,121.12
796,WTQRUHGF01UB,上海市/奉贤区,上海/奉贤,Fengxian,30.92,121.47
797,WTW7FS0ZC50Z,上海市/崇明区,上海/崇明,Chongming,31.62,121.4
798,WTSQQYHVQ973,江苏省/南京市,江苏/南京/南京,Nanjing,32.07,118.78
799,WTSQR4WJNP42,江苏省/南京市/玄武区,江苏/南京/玄武,Xuanwu,32.05076159,118.7926802
800,WTSQR0GVT2DZ,江苏省/南京市/秦淮区,江苏/南京/秦淮,Qinhuai,32.04120076,118.7895588
801,WTSQJDMYP91J,江苏省/南京市/建邺区,江苏/南京/建邺,Jianye,32.00558333,118.7264816
802,WTSQQTCEZ5DT,江苏省/南京市/鼓楼区,江苏/南京/鼓楼,Gulou,32.06838197,118.764571
803,WTSQ7682Y34B,江苏省/南京市/浦口区,江苏/南京/浦口,Pukou,32.05,118.62
804,WTSQXKQHG41K,江苏省/南京市/栖霞区,江苏/南京/栖霞,Qixia,32.10425092,118.8035365
805,WTSQNB0QZZ03,江苏省/南京市/雨花台区,江苏/南京/雨花台,Yuhuatai,31.99338409,118.7738699
806,WTSTB2RFJXXJ,江苏省/南京市/江宁区,江苏/南京/江宁,Jiangning,31.95,118.85
807,WTU8011K7TN4,江苏省/南京市/六合区,江苏/南京/六合,Luhe,32.35,118.83
808,WTSSH3EWX58K,江苏省/南京市/溧水区,江苏/南京/溧水,Lishui,31.65,119.02
809,WTSD1PMY2Z2C,江苏省/南京市/高淳区,江苏/南京/高淳,Gaochun,31.33,118.88
810,WTTE97PU94T9,江苏省/无锡市,江苏/无锡/无锡,Wuxi,31.57,120.3
811,WTTEF8S5Q6BN,江苏省/无锡市/锡山区,江苏/无锡/锡山,Xishan,31.6,120.35
812,WTTS1REQ6G7M,江苏省/无锡市/惠山区,江苏/无锡/惠山,Huishan,31.682915,120.2938924
813,WTTE2GZFGHHT,江苏省/无锡市/滨湖区,江苏/无锡/滨湖,Binhu,31.52988287,120.2781119
814,WTTE96Y2VC2D,江苏省/无锡市/梁溪区,江苏/无锡/梁溪,Liangxi,31.56797645,120.2981372
815,WTTE4V50PN9N,江苏省/无锡市/新吴区,江苏/无锡/新吴,Xinwu,31.4923456,120.3596464
816,WTTT2Z1YYP5B,江苏省/无锡市/江阴市,江苏/无锡/江阴,Jiangyin,31.9,120.27
817,WTT4QE46BRED,江苏省/无锡市/宜兴市,江苏/无锡/宜兴,Yixing,31.35,119.82
818,WW56FQXV5ZHB,江苏省/徐州市,江苏/徐州/徐州,Xuzhou,34.27,117.18
819,WW5746R8PEEU,江苏省/徐州市/鼓楼区,江苏/徐州/鼓楼,Gulou,34.28972296,117.1798162
820,WW56GGZFDN77,江苏省/徐州市/云龙区,江苏/徐州/云龙,Yunlong,34.25446099,117.2458406
821,WW5EBUURF35H,江苏省/徐州市/贾汪区,江苏/徐州/贾汪,Jiawang,34.43660868,117.4607713
822,WW56FDJWX2QH,江苏省/徐州市/泉山区,江苏/徐州/泉山,Quanshan,34.24550261,117.1880482
823,WW566Q28FVU3,江苏省/徐州市/铜山区,江苏/徐州/铜山,Tongshan,34.18,117.17
824,WW4VMKCW0UVD,江苏省/徐州市/丰县,江苏/徐州/丰县,Fengxian,34.7,116.6
825,WW5JSF3UFMPR,江苏省/徐州市/沛县,江苏/徐州/沛县,Peixian,34.73,116.93
826,WW5BU529F4N8,江苏省/徐州市/睢宁县,江苏/徐州/睢宁,Suining,33.9,117.95
827,WWH5T4EY4BS0,江苏省/徐州市/新沂市,江苏/徐州/新沂,Xinyi,34.38,118.35
828,WW5GHPB86PWW,江苏省/徐州市/邳州市,江苏/徐州/邳州,Pizhou,34.32,117.95
829,WTTKC92GVT6S,江苏省/常州市,江苏/常州/常州,Changzhou,31.78,119.95
830,WTTKCCXTT1RS,江苏省/常州市/天宁区,江苏/常州/天宁,Tianning,31.78165222,119.9702414
831,WTTKBMF9SWCP,江苏省/常州市/钟楼区,江苏/常州/钟楼,Zhonglou,31.80434159,119.8974267
832,WTTM1FVWGGDE,江苏省/常州市/新北区,江苏/常州/新北,Xinbei,31.83269046,119.9674344
833,WTTK3N6Q7S9D,江苏省/常州市/武进区,江苏/常州/武进,Wujin,31.72,119.93
834,WTTH8GUJNUYP,江苏省/常州市/金坛区,江苏/常州/金坛,Jintan,31.75,119.57
835,WTSFWZFDVB90,江苏省/常州市/溧阳市,江苏/常州/溧阳,Liyang,31.42,119.48
836,WTTDPCGXTWUS,江苏省/苏州市,江苏/苏州/苏州,Suzhou,31.3,120.58
837,WTTDP3RN2FHT,江苏省/苏州市/虎丘区,江苏/苏州/虎丘,Huqiu,31.29701351,120.5626298
838,WTTCCH80FWRR,江苏省/苏州市/吴中区,江苏/苏州/吴中,Wuzhong,31.27,120.63
839,WTTF3NYNX9V0,江苏省/苏州市/相城区,江苏/苏州/相城,Xiangcheng,31.37121188,120.6384514
840,WTTF295B36E7,江苏省/苏州市/姑苏区,江苏/苏州/姑苏,Gusu,31.33855792,120.613118
841,WTTC34246TPK,江苏省/苏州市/吴江区,江苏/苏州/吴江,Wujiang,31.17,120.63
842,WTTU59XQWGTU,江苏省/苏州市/常熟市,江苏/苏州/常熟,Changshu,31.65,120.75
843,WTTTR1VB4WE5,江苏省/苏州市/张家港市,江苏/苏州/张家港,Zhangjiagang,31.87,120.55
844,WTW48BWCWRFR,江苏省/苏州市/昆山市,江苏/苏州/昆山,Kunshan,31.38,120.98
845,WTW4GTQ3D8BV,江苏省/苏州市/太仓市,江苏/苏州/太仓,Taicang,31.45,121.1
846,WTTVYTY1H0HF,江苏省/南通市,江苏/南通/南通,Nantong,31.98,120.88
847,WTTYN5DEE05E,江苏省/南通市/崇川区,江苏/南通/崇川,Chongchuan,32.01201503,120.8531761
848,WTTYJPWNWDG6,江苏省/南通市/港闸区,江苏/南通/港闸,Gangzha,32.03451726,120.8141872
849,WTWN7PBRX3RJ,江苏省/南通市/通州区,江苏/南通/通州,Tongzhou,32.08,121.07
850,WTWPVE8TDSTJ,江苏省/南通市/如东县,江苏/南通/如东,Rudong,32.32,121.18
851,WTWT00WUFMYT,江苏省/南通市/启东市,江苏/南通/启东,Qidong,31.82,121.65
852,WTV8RDHRSTU0,江苏省/南通市/如皋市,江苏/南通/如皋,Rugao,32.4,120.57
853,WTWJMR1QCXH8,江苏省/南通市/海门市,江苏/南通/海门,Haimen,31.9,121.17
854,WTV9HVT12RV9,江苏省/南通市/海安市,江苏/南通/海安,Haian,32.55,120.45
855,WWHUBFTRE77P,江苏省/连云港市,江苏/连云港/连云港,Lianyungang,34.6,119.22
856,WWHVG800SD6K,江苏省/连云港市/连云区,江苏/连云港/连云,Lianyun,34.7608409,119.3336926
857,WWHUBHNHSXN8,江苏省/连云港市/海州区,江苏/连云港/海州,Haizhou,34.60774372,119.1881292
858,WWHWNSSE3NTF,江苏省/连云港市/赣榆区,江苏/连云港/赣榆,Ganyu,34.83,119.12
859,WWHKQTVXVDDC,江苏省/连云港市/东海县,江苏/连云港/东海,Donghai,34.53,118.77
860,WWHG1S55YRKV,江苏省/连云港市/灌云县,江苏/连云港/灌云,Guanyun,34.3,119.25
861,WWHCGUH42S6N,江苏省/连云港市/灌南县,江苏/连云港/灌南,Guannan,34.08,119.35
862,WTUXK27DXN0R,江苏省/淮安市,江苏/淮安/淮安,Huaian,33.62,119.02
863,WTUYDYQNZ73S,江苏省/淮安市/淮安区,江苏/淮安/淮安区,Huaianqu,33.5218373,119.3090901
864,WTUXKD5HBN2U,江苏省/淮安市/淮阴区,江苏/淮安/淮阴区,Huaiyinqu,33.63,119.03
865,WTUWUKKSCM9V,江苏省/淮安市/清江浦区,江苏/淮安/清江浦,Qingjiangpu,33.5544652,119.0211286
866,WTUT2N16E9YJ,江苏省/淮安市/洪泽区,江苏/淮安/洪泽,Hongze,33.3,118.83
867,WWHB4J3YB2MU,江苏省/淮安市/涟水县,江苏/淮安/涟水,Lianshui,33.78,119.27
868,WTU78P6WBJG5,江苏省/淮安市/盱眙县,江苏/淮安/盱眙,Xuyi,33,118.48
869,WTUEU75ERN0K,江苏省/淮安市/金湖县,江苏/淮安/金湖,Jinhu,33.02,119.02
870,WTVMWP4TCFT7,江苏省/盐城市,江苏/盐城/盐城,Yancheng,33.35,120.15
871,WTVMZNCD8D11,江苏省/盐城市/亭湖区,江苏/盐城/亭湖,Tinghu,33.39201114,120.1925127
872,WTVMW5D93FM6,江苏省/盐城市/盐都区,江苏/盐城/盐都,Yandu,33.33,120.15
873,WTVSV7GS42WD,江苏省/盐城市/大丰区,江苏/盐城/大丰,Dafeng,33.2,120.47
874,WWJ48CUJQYN4,江苏省/盐城市/响水县,江苏/盐城/响水,Xiangshui,34.2,119.57
875,WWJ1QCCEC7H5,江苏省/盐城市/滨海县,江苏/盐城/滨海,Binhai,33.98,119.83
876,WWJ0NJ7WY26S,江苏省/盐城市/阜宁县,江苏/盐城/阜宁,Funing,33.78,119.8
877,WWJ80M7QU06U,江苏省/盐城市/射阳县,江苏/盐城/射阳,Sheyang,33.78,120.25
878,WTVNQJ58YK4W,江苏省/盐城市/建湖县,江苏/盐城/建湖,Jianhu,33.47,119.8
879,WTVDCKPV15VD,江苏省/盐城市/东台市,江苏/盐城/东台,Dongtai,32.85,120.3
880,WTUBM40RTTUB,江苏省/扬州市,江苏/扬州/扬州,Yangzhou,32.4,119.4
